N,gpu_time,cpu_time,difference
512,1.344360,0.156713,0.000000
753,1.724149,0.478039,0.000000
1024,2.000597,1.429923,0.000000
1359,3.043882,2.949946,0.000000
2048,6.716709,12.801342,0.000000
3356,21.626289,15.621872,0.000000
4096,39.277675,59.258220,0.000000
6122,117.156860,99.540940,0.000000
8192,272.772211,326.753523,0.000000
